City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Rikitea,PF,76.71,moderate rain,-23.1203,-134.9692,People ThankYou
1,Hithadhoo,MV,82.4,broken clouds,-0.6,73.0833,Scoop Guest House
5,Souillac,MU,76.35,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
21,Bandarbeyla,SO,78.94,overcast clouds,9.4942,50.8122,JABIR HOTEL
24,Vaini,TO,84.36,broken clouds,-21.2,-175.2,Keleti Beach Resort
35,Mataura,NZ,76.48,clear sky,-46.1927,168.8643,Ellie's Villa
36,Bambous Virieux,MU,76.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
37,Morant Bay,JM,80.22,scattered clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
38,Busselton,AU,84.16,scattered clouds,-33.65,115.3333,Observatory Guest House
40,Maraa,BR,75.31,overcast clouds,-1.8333,-65.3667,
43,Atuona,PF,78.33,clear sky,-9.8,-139.0333,Villa Enata
49,Bluff,NZ,76.8,few clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
56,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
60,Bengkulu,ID,77.63,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
69,Mahebourg,MU,76.24,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
74,Catio,GW,75.49,overcast clouds,11.2833,-15.25,Pausada Morabedja
81,Aloleng,PH,80.31,overcast clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
88,Kudahuvadhoo,MV,81.34,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
91,Ugoofaaru,MV,80.13,overcast clouds,5.6667,73.0,Ungoofaaru Inn
95,The Valley,AI,79.11,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
97,Touros,BR,83.3,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
99,Katherine,AU,82.72,light rain,-14.4667,132.2667,Pine Tree Motel
105,Tautira,PF,86.02,light rain,-17.7333,-149.15,Pension Oaoa
113,Lorengau,PG,85.62,light rain,-2.0226,147.2712,Lorengau Harbourside Hotel
115,Kismayo,SO,79.18,light rain,-0.3582,42.5454,Agan-Hotel
118,Port Macquarie,AU,83.89,few clouds,-31.4333,152.9167,Rydges Port Macquarie
126,Calabozo,VE,81.21,few clouds,8.9242,-67.4293,Hotel Giardini
129,Sibolga,ID,79.25,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
135,Vao,NC,77.74,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
137,Alofi,NU,84.09,light rain,-19.0595,-169.9187,Taloa Heights
140,Vanimo,PG,80.69,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
143,Maningrida,AU,83.12,moderate rain,-12.0667,134.2667,Dhukurrdji Lodge
149,Luanda,AO,77.0,broken clouds,-8.8368,13.2343,Hotel Fórum
157,Kapaa,US,79.12,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
159,Hilo,US,78.28,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
160,Sao Filipe,CV,76.51,broken clouds,14.8961,-24.4956,Hotel Xaguate
162,Broken Hill,AU,77.18,clear sky,-31.95,141.4333,Royal Exchange Hotel
164,Saint-Philippe,RE,77.22,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
165,Luis Correia,BR,84.2,scattered clouds,-2.8792,-41.6669,Hotel Amarração
173,Cap Malheureux,MU,76.46,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
176,Dingle,PH,79.16,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
178,Kimbe,PG,83.68,moderate rain,-5.5502,150.1429,Kimbe Bay Hotel
186,Avarua,CK,82.45,moderate rain,-21.2078,-159.775,Paradise Inn
189,Bac Lieu,VN,79.47,scattered clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
191,Manggar,ID,80.26,overcast clouds,-2.8833,108.2667,Guest Hotel
192,Butaritari,KI,82.47,broken clouds,3.0707,172.7902,Isles Sunset Lodge
196,Omboue,GA,77.36,moderate rain,-1.5746,9.2618,Hotel Olako
