City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rikitea,PF,-23.1203,-134.9692,76.71,79,100,21.05,moderate rain
1,Hithadhoo,MV,-0.6,73.0833,82.4,70,68,13.04,broken clouds
2,Punta Arenas,CL,-53.15,-70.9167,57.31,44,0,18.41,clear sky
3,Gat,IL,31.61,34.7642,49.41,65,0,4.52,clear sky
4,Ushuaia,AR,-54.8,-68.3,53.26,50,40,11.5,scattered clouds
5,Souillac,MU,-20.5167,57.5167,76.35,88,40,4.61,scattered clouds
6,Tura,IN,25.5198,90.2201,54.14,67,0,3.02,clear sky
7,Dikson,RU,73.5069,80.5464,-9.09,97,24,8.25,few clouds
8,Seydi,TM,39.4816,62.9137,33.12,75,100,12.33,overcast clouds
9,Lompoc,US,34.6391,-120.4579,54.37,77,90,10.36,light rain
10,Severo-Kurilsk,RU,50.6789,156.125,30.52,96,100,22.24,snow
11,Bredasdorp,ZA,-34.5322,20.0403,67.28,88,100,8.05,overcast clouds
12,Esperance,AU,-33.8667,121.9,70.68,60,50,15.46,scattered clouds
13,Sao Joao Da Barra,BR,-21.6403,-41.0511,70.12,78,0,3.71,clear sky
14,Albany,US,42.6001,-73.9662,38.37,94,100,1.7,light snow
15,Lalmohan,BD,22.3384,90.7419,65.14,73,0,6.49,clear sky
16,Hermanus,ZA,-34.4187,19.2345,68.9,87,100,14.0,overcast clouds
17,Cape Town,ZA,-33.9258,18.4232,69.12,77,0,3.0,clear sky
18,Barrow,US,71.2906,-156.7887,-14.78,76,1,6.91,clear sky
19,Weligama,LK,5.9667,80.4167,70.88,86,6,5.77,clear sky
20,Yellowknife,CA,62.456,-114.3525,-7.08,77,90,16.11,mist
21,Bandarbeyla,SO,9.4942,50.8122,78.94,61,100,11.39,overcast clouds
22,Ilulissat,GL,69.2167,-51.1,26.62,43,8,8.05,clear sky
23,Port Alfred,ZA,-33.5906,26.891,68.81,89,100,16.4,light rain
24,Vaini,TO,-21.2,-175.2,84.36,84,75,11.5,broken clouds
25,Cidreira,BR,-30.1811,-50.2056,71.82,82,0,17.18,clear sky
26,Comodoro Rivadavia,AR,-45.8667,-67.5,60.66,72,0,6.91,clear sky
27,Chokurdakh,RU,70.6333,147.9167,-17.05,97,100,10.89,overcast clouds
28,Lavumisa,SZ,-27.31,31.892,70.92,96,100,2.73,overcast clouds
29,Upernavik,GL,72.7868,-56.1549,3.36,100,100,8.61,overcast clouds
30,Flin Flon,CA,54.7682,-101.865,-14.26,91,27,7.56,scattered clouds
31,Marawi,PH,7.9986,124.2928,72.64,80,98,2.44,overcast clouds
32,Beaverlodge,CA,55.2166,-119.4361,-26.25,98,100,4.52,overcast clouds
33,Inhambane,MZ,-23.865,35.3833,74.43,85,95,6.98,overcast clouds
34,Dalbandin,PK,28.8947,64.4101,57.79,27,100,6.78,overcast clouds
35,Mataura,NZ,-46.1927,168.8643,76.48,34,5,9.78,clear sky
36,Bambous Virieux,MU,-20.3428,57.7575,76.21,88,40,4.61,scattered clouds
37,Morant Bay,JM,17.8815,-76.4093,80.22,84,26,7.36,scattered clouds
38,Busselton,AU,-33.65,115.3333,84.16,40,34,11.74,scattered clouds
39,Saint-Augustin,CA,51.226,-58.6502,28.09,98,100,3.87,light snow
40,Maraa,BR,-1.8333,-65.3667,75.31,95,85,3.06,overcast clouds
41,San Cristobal,VE,7.7669,-72.225,69.98,85,34,1.19,scattered clouds
42,Ribeira Grande,PT,38.5167,-28.7,63.32,95,100,26.31,overcast clouds
43,Atuona,PF,-9.8,-139.0333,78.33,73,1,13.0,clear sky
44,Fortuna,US,40.5982,-124.1573,42.33,94,75,1.01,broken clouds
45,Troitskoye,RU,52.9821,84.6757,14.94,95,100,3.13,overcast clouds
46,Deputatskiy,RU,69.3,139.9,-29.78,97,100,6.93,overcast clouds
47,Stokmarknes,NO,68.5646,14.9108,24.71,71,18,2.86,few clouds
48,Puerto Ayora,EC,-0.7393,-90.3518,70.56,94,99,3.0,overcast clouds
49,Bluff,NZ,-46.6,168.3333,76.8,53,14,9.6,few clouds
50,Mar Del Plata,AR,-38.0023,-57.5575,63.09,87,0,5.01,clear sky
51,Luderitz,NA,-26.6481,15.1594,60.85,86,0,6.02,clear sky
52,Husavik,IS,66.0449,-17.3389,26.51,81,100,8.21,overcast clouds
53,Kaitangata,NZ,-46.2817,169.8464,65.93,71,0,5.66,clear sky
54,Olafsvik,IS,64.8945,-23.7142,30.15,77,100,25.84,overcast clouds
55,Plettenberg Bay,ZA,-34.0527,23.3716,65.3,98,76,3.15,broken clouds
56,Georgetown,MY,5.4112,100.3354,82.33,79,20,3.44,few clouds
57,Bhim Tal,IN,29.35,79.5667,40.37,59,98,4.18,overcast clouds
58,East London,ZA,-33.0153,27.9116,69.93,93,100,11.65,light rain
