City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Albany,US,2021-12-22 02:16:16,42.6001,-73.9662,32.59,81,100,1.99
1,Cochrane,CA,2021-12-22 02:11:22,51.1834,-114.4687,21.38,83,100,6.08
2,Jamestown,US,2021-12-22 02:12:23,42.097,-79.2353,37.51,70,1,5.01
3,Hasaki,JP,2021-12-22 02:16:17,35.7333,140.8333,55.29,57,99,10.51
4,Bowen,AU,2021-12-22 02:16:17,-20.0167,148.2333,83.19,62,5,12.12
5,Boysun,UZ,2021-12-22 02:16:18,38.2061,67.1986,44.51,72,95,6.55
6,Thompson,CA,2021-12-22 02:16:18,55.7435,-97.8558,-20.04,76,75,5.75
7,Puerto Ayora,EC,2021-12-22 02:16:18,-0.7393,-90.3518,70.14,92,55,5.28
8,Atuona,PF,2021-12-22 02:15:16,-9.8,-139.0333,78.93,75,100,19.77
9,Arraial Do Cabo,BR,2021-12-22 02:16:19,-22.9661,-42.0278,73.78,89,58,24.32
10,Rikitea,PF,2021-12-22 02:16:19,-23.1203,-134.9692,75.18,83,100,15.73
11,Quatre Cocos,MU,2021-12-22 02:16:19,-20.2078,57.7625,78.91,81,83,15.26
12,Shubarkuduk,KZ,2021-12-22 02:16:20,49.1447,56.4872,30.96,92,100,15.7
13,Harrai,IN,2021-12-22 02:16:20,22.6167,79.2167,54.01,32,0,1.25
14,Upernavik,GL,2021-12-22 02:16:20,72.7868,-56.1549,25.63,69,25,10.6
15,Castro,BR,2021-12-22 02:16:21,-24.7911,-50.0119,65.34,80,93,4.25
16,Paratinga,BR,2021-12-22 02:16:21,-12.6906,-43.1842,70.65,94,100,0.96
17,Punta Arenas,CL,2021-12-22 02:15:35,-53.15,-70.9167,51.91,71,75,26.46
18,Nome,US,2021-12-22 02:16:22,64.5011,-165.4064,10.47,61,1,6.91
19,Evanston,US,2021-12-22 02:13:54,42.0411,-87.6901,33.06,64,3,5.01
20,Cherskiy,RU,2021-12-22 02:16:22,68.75,161.3,-20.94,98,100,8.43
21,Lebu,CL,2021-12-22 02:16:23,-37.6167,-73.65,55.6,90,0,19.46
22,Mataura,NZ,2021-12-22 02:16:23,-46.1927,168.8643,59.49,55,91,10.4
23,Busselton,AU,2021-12-22 02:16:23,-33.65,115.3333,79.09,44,0,7.54
24,Dikson,RU,2021-12-22 02:16:24,73.5069,80.5464,-25.82,94,49,6.67
25,East London,ZA,2021-12-22 02:16:24,-33.0153,27.9116,68.59,90,3,6.67
26,Andilamena,MG,2021-12-22 02:16:24,-17.0167,48.5833,66.97,96,76,2.82
27,Buraydah,SA,2021-12-22 02:16:25,26.326,43.975,43.25,35,11,7.63
28,Shieli,KZ,2021-12-22 02:16:25,44.1667,66.75,47.71,69,3,15.95
29,San Cristobal,VE,2021-12-22 02:16:25,7.7669,-72.225,71.78,90,100,1.79
30,Choma,ZM,2021-12-22 02:16:26,-16.8065,26.9531,64.35,95,100,4.92
31,Ixtapa,MX,2021-12-22 02:16:26,20.7,-105.2,72.63,83,1,0.0
32,Sumbe,AO,2021-12-22 02:16:27,-11.2061,13.8437,74.48,87,100,2.46
33,Akureyri,IS,2021-12-22 02:16:27,65.6835,-18.0878,15.73,100,0,2.3
34,Gainesville,US,2021-12-22 02:15:40,29.6516,-82.3248,52.86,90,90,9.22
35,Santacruz,CO,2021-12-22 02:16:27,1.5209,-77.2621,60.35,95,100,1.97
36,Morros,BR,2021-12-22 02:16:28,-9.4467,-46.3003,70.93,95,100,3.06
37,Clyde River,CA,2021-12-22 02:16:28,70.4692,-68.5914,7.03,85,100,28.77
38,South Lake Tahoe,US,2021-12-22 02:14:30,38.9332,-119.9844,33.35,58,1,0.0
39,Kapaa,US,2021-12-22 02:16:29,22.0752,-159.319,75.18,80,90,4.0
40,Glendive,US,2021-12-22 02:16:29,47.1053,-104.7125,25.43,80,90,8.05
41,Kodiak,US,2021-12-22 02:16:29,57.79,-152.4072,31.95,67,97,7.92
42,Bluff,NZ,2021-12-22 02:16:30,-46.6,168.3333,59.81,66,59,26.89
43,Port Macquarie,AU,2021-12-22 02:13:47,-31.4333,152.9167,83.89,73,100,7.52
44,Butaritari,KI,2021-12-22 02:15:17,3.0707,172.7902,81.75,67,100,3.22
45,Beringovskiy,RU,2021-12-22 02:17:30,63.05,179.3167,0.12,90,100,13.35
46,Hilo,US,2021-12-22 02:14:05,19.7297,-155.09,69.12,46,90,5.75
47,Saint-Joseph,RE,2021-12-22 02:17:30,-21.3667,55.6167,75.58,88,100,11.25
48,Porto Novo,BJ,2021-12-22 02:17:31,6.4965,2.6036,76.82,46,45,4.52
49,Airai,TL,2021-12-22 02:17:31,-8.9266,125.4092,69.78,75,100,2.39
50,Port Alfred,ZA,2021-12-22 02:14:00,-33.5906,26.891,68.2,92,14,3.94
51,Madimba,TZ,2021-12-22 02:17:32,-10.4,40.3333,74.71,87,85,2.08
52,Maniitsoq,GL,2021-12-22 02:17:32,65.4167,-52.9,35.69,72,100,11.56
53,Dunedin,NZ,2021-12-22 02:17:32,-45.8742,170.5036,64.8,72,100,1.99
54,Khatanga,RU,2021-12-22 02:17:33,71.9667,102.5,-32.67,100,63,3.83
55,Bumbuna,SL,2021-12-22 02:17:33,9.05,-11.7333,68.7,35,44,2.66
56,Geraldton,AU,2021-12-22 02:17:33,-28.7667,114.6,76.12,64,90,16.11
57,Mareeba,AU,2021-12-22 02:17:33,-17.0,145.4333,93.33,45,50,4.68
58,Sorland,NO,2021-12-22 02:17:34,67.667,12.6934,33.01,60,19,11.7
59,Norman Wells,CA,2021-12-22 02:17:34,65.282,-126.8329,1.44,78,90,3.44
60,Karratha,AU,2021-12-22 02:17:34,-20.7377,116.8463,101.84,24,0,6.49
61,Haicheng,CN,2021-12-22 02:17:35,40.8516,122.7475,22.26,25,76,8.16
62,Cape Town,ZA,2021-12-22 02:13:42,-33.9258,18.4232,70.27,76,6,1.01
63,Plettenberg Bay,ZA,2021-12-22 02:17:35,-34.0527,23.3716,66.22,97,100,1.45
64,Varkaus,FI,2021-12-22 02:17:35,62.3153,27.873,6.31,94,34,6.58
65,Ushuaia,AR,2021-12-22 02:14:36,-54.8,-68.3,47.86,76,20,35.68
66,Dukhovnitskoye,RU,2021-12-22 02:17:36,52.4828,48.2137,8.35,87,19,6.31
67,Nantucket,US,2021-12-22 02:17:36,41.2835,-70.0995,46.51,71,90,9.22
68,Paramonga,PE,2021-12-22 02:17:37,-10.6667,-77.8333,68.29,84,83,7.14
69,Tuktoyaktuk,CA,2021-12-22 02:17:37,69.4541,-133.0374,-4.0,71,75,17.27
70,Vaini,TO,2021-12-22 02:17:37,-21.2,-175.2,86.16,94,75,12.66
71,Svetlogorsk,BY,2021-12-22 02:17:38,52.6333,29.7333,12.51,84,29,8.01
72,Kavieng,PG,2021-12-22 02:17:38,-2.5744,150.7967,84.78,70,90,6.8
73,Ribeira Grande,PT,2021-12-22 02:17:38,38.5167,-28.7,60.08,67,99,35.32
74,Ust-Nera,RU,2021-12-22 02:17:39,64.5667,143.2,-45.45,94,60,2.1
